,best_param,train_loss,test_loss,test_cf
0,2,0.019897821995159992,0.053763440860215006,"[[301.   0.   3.   0.   2.   4.   2.   0.   0.   0.]
 [  0. 264.   0.   0.   0.   0.   0.   0.   0.   0.]
 [  0.   2. 171.   3.   3.   0.   2.   0.   0.   0.]
 [  0.   2.   3. 163.   0.   2.   0.   1.   2.   0.]
 [  0.   5.   0.   0. 169.   0.   1.   0.   0.   0.]
 [  0.   3.   0.   2.   2. 139.   1.   0.   0.   0.]
 [  0.   2.   1.   0.   2.   1. 140.   0.   0.   0.]
 [  0.   1.   0.   0.   2.   0.   0. 149.   1.   1.]
 [  3.   5.   0.   3.   2.   1.   1.   0. 124.   1.]
 [  1.  11.   0.   1.   7.   1.   0.   5.   2. 140.]]"
1,2,0.022721161602581308,0.055376344086021545,"[[305.   0.   1.   0.   2.   1.   4.   0.   3.   0.]
 [  0. 238.   0.   1.   0.   0.   2.   0.   0.   0.]
 [  0.   0. 169.   0.   2.   3.   3.   3.   3.   0.]
 [  1.   0.   2. 140.   0.   5.   0.   5.   4.   0.]
 [  0.   3.   1.   0. 169.   3.   5.   3.   0.   1.]
 [  2.   0.   0.   1.   0. 127.   3.   0.   1.   3.]
 [  0.   0.   1.   0.   1.   0. 168.   0.   0.   0.]
 [  0.   0.   1.   1.   2.   0.   0. 156.   0.   2.]
 [  0.   1.   1.   2.   2.   4.   4.   3. 128.   1.]
 [  0.   1.   1.   0.   1.   0.   0.   3.   0. 157.]]"
