,best_param,train_loss,test_loss
0,3,0.0,0.004838709677419395
1,2,0.0,0.0037634408602150726
2,3,0.0,0.0037634408602150726
3,4,0.0,0.0026881720430107503
4,3,0.0,0.0026881720430107503
5,3,0.0,0.005376344086021501
6,3,0.0,0.001612903225806428
7,2,0.0,0.0021505376344086446
8,3,0.0,0.0021505376344086446
9,3,0.0,0.0021505376344086446
10,3,0.0,0.0037634408602150726
11,3,0.0,0.006451612903225823
12,2,0.0,0.004838709677419395
13,3,0.0,0.004301075268817178
14,2,0.0,0.004838709677419395
15,2,0.0,0.0026881720430107503
16,3,0.0,0.004838709677419395
17,3,0.0,0.003225806451612856
18,2,0.0,0.005913978494623606
19,3,0.0,0.004838709677419395
