,param,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
0,60,0.16419064264587252,0.015385547377319763,0.1688709677419355,0.014008342822483031
1,62,0.1723917719817155,0.014355203278502563,0.17537634408602149,0.012453636992616045
2,64,0.16909787577305727,0.012356625745878782,0.1727688172043011,0.012573376955706733
3,66,0.17863673030384514,0.014409760984366882,0.180752688172043,0.016266972868045997
4,68,0.16595859101909116,0.01657908118782278,0.16838709677419353,0.018383323513990843
5,70,0.17024737832750736,0.014077533092067366,0.1728225806451613,0.014400650791103406
6,72,0.16849287442860986,0.018004850602090883,0.17327956989247312,0.021669468054442774
7,74,0.17618311374025275,0.015790331904931485,0.18032258064516132,0.01757118880202165
8,76,0.17169265931702068,0.014710029065294818,0.17526881720430104,0.015531959375861647
9,78,0.16479564399031998,0.01458201066055915,0.16666666666666669,0.014938111816612693
10,80,0.1733328851841893,0.015515871382678287,0.17720430107526883,0.014103453057225275
11,82,0.16631486958859906,0.013781305931531445,0.1688709677419355,0.016192438094710597
12,84,0.16971632159182576,0.014652705377515953,0.17327956989247312,0.014788464879444956
13,86,0.1688289862866362,0.015446751720311439,0.1739516129032258,0.014458742600922204
14,88,0.1766603925786502,0.014722037024297625,0.17994623655913977,0.014869358250317152
15,90,0.16272519494487764,0.01729903572386481,0.16809139784946237,0.01840820881275083
16,92,0.16692659317020705,0.0138225542906727,0.16935483870967744,0.015223695254883115
17,94,0.16989109975799946,0.014384788057688105,0.17096774193548386,0.01764555116105888
18,96,0.16860043022317828,0.014918731369350152,0.16948924731182793,0.0164676594383226
19,98,0.1727144393654208,0.013726227233818333,0.17486559139784946,0.014293266321395916
